time,open,high,low,close,tick_volume,spread,real_volume
2011-05-13 17:00:00,1505.5,1510.6,1503.15,1504.8,2285,50,0
2011-05-13 18:00:00,1504.7,1507.45,1493.05,1493.85,2542,55,0
2011-05-13 19:00:00,1493.6,1496.4,1482.7,1490.66,1970,55,0
2011-05-13 20:00:00,1490.9,1494.7,1490.1,1492.0,1353,55,0
2011-05-13 21:00:00,1492.2,1497.2,1492.13,1492.5,925,55,0
2011-05-13 22:00:00,1492.6,1493.79,1489.5,1492.7,742,65,0
2011-05-13 23:00:00,1493.25,1494.65,1492.33,1494.6,220,60,0
2011-05-16 01:00:00,1490.5,1492.3,1487.1,1488.5,453,120,0
2011-05-16 02:00:00,1488.4,1492.8,1488.4,1491.7,410,100,0
2011-05-16 03:00:00,1491.6,1493.4,1489.3,1489.4,633,50,0
2011-05-16 04:00:00,1489.5,1490.7,1488.3,1489.5,529,50,0
2011-05-16 05:00:00,1489.6,1491.6,1489.45,1491.05,273,50,0
2011-05-16 06:00:00,1491.0,1491.9,1490.6,1491.5,175,50,0
2011-05-16 07:00:00,1491.4,1492.0,1489.0,1490.15,371,50,0
2011-05-16 08:00:00,1490.11,1492.9,1488.8,1490.73,485,50,0
2011-05-16 09:00:00,1490.63,1494.7,1490.06,1493.3,632,50,0
2011-05-16 10:00:00,1493.2,1497.85,1492.45,1496.6,682,50,0
2011-05-16 11:00:00,1496.53,1497.17,1494.3,1494.8,580,55,0
2011-05-16 12:00:00,1494.7,1497.8,1490.25,1490.7,696,50,0
2011-05-16 13:00:00,1491.0,1492.75,1489.4,1491.7,656,50,0
2011-05-16 14:00:00,1491.6,1495.2,1491.1,1494.8,1054,50,0
2011-05-16 15:00:00,1494.9,1497.68,1492.65,1494.15,1604,50,0
2011-05-16 16:00:00,1494.25,1500.7,1492.95,1498.7,2061,50,0
2011-05-16 17:00:00,1498.9,1504.26,1498.2,1503.2,1539,55,0
2011-05-16 18:00:00,1503.15,1503.25,1495.35,1495.7,1568,50,0
2011-05-16 19:00:00,1495.9,1498.85,1492.43,1492.55,1046,55,0
2011-05-16 20:00:00,1492.5,1495.2,1490.3,1493.0,1325,55,0
2011-05-16 21:00:00,1493.1,1495.9,1489.45,1491.7,1239,55,0
